file,energy,atom_count
1,0.0,5
2,0.0,4
3,0.0,3
4,0.035945000000026504,4
5,-0.020558999999991504,3
6,-0.0089729999999832,4
7,-0.010787999999990902,8
8,0.0,6
9,0.0092570000000336,7
10,-0.0523869999999817,6
11,-0.0385379999999884,7
12,-0.06475699999998591,6
13,-0.0246769999999827,11
14,-0.0191609999999968,9
15,-0.0067909999999926,9
16,-0.0014959999999746,9
17,0.0065120000000149,7
18,-0.0648319999999387,10
19,-0.0888369999999838,9
20,-0.10403899999997168,8
21,-0.0401139999999884,14
22,-0.03922799999998,12
23,0.0244020000000375,6
24,-0.02655299999995,5
25,-0.07037099999993751,4
26,-0.0101149999999563,6
27,-0.06038499999996811,5
28,-0.05400099999997109,6
29,-0.0157009999999502,10
30,-0.0041049999999529,10
31,-0.0659439999999733,9
32,-0.0549129999999706,8
33,0.008096000000051598,8
34,-0.0508169999999665,7
35,-0.0516939999999408,10
36,-0.0744439999999997,9
37,-0.0645169999999666,8
38,-0.04333299999996141,8
39,-0.038711000000006296,14
40,-0.0330849999999713,12
41,-0.0261229999999841,12
42,-0.0292999999999779,10
43,-0.018998999999979505,12
44,-0.0160949999999502,10
45,-0.0030889999999884994,11
46,-0.011479999999949,10
47,-0.0177479999999832,12
48,-0.010585999999960901,10
49,-0.030348999999972603,12
50,-0.09165399999994858,10
51,-0.10374999999993402,9
52,-0.0801789999999584,9
53,-0.0932429999999442,8
54,-0.0555559999999957,17
55,-0.058188000000001204,15
56,-0.0383269999999527,9
57,-0.0914759999999432,8
58,-0.0916809999999372,8
59,-0.0619769999999562,8
60,-0.0841319999999541,9
61,-0.0914909999999622,9
62,-0.10256499999997,8
63,-0.0190979999999569,13
64,-0.0811649999999701,12
65,-0.07648699999995752,11
66,-0.014921999999955901,11
67,-0.07445799999996429,10
68,-0.06700999999995359,13
69,-0.0639469999999846,11
70,-0.0854719999999815,12
71,-0.07746199999996858,11
72,-0.0797639999999546,13
73,-0.10356799999996721,12
74,-0.0986039999999661,12
75,-0.112630999999908,11
76,-0.0715629999999691,12
77,-0.0975559999999973,11
78,-0.1145180000000323,10
79,-0.08965399999999592,10
